ID,SMILES
0,COc1ccccc1NC(NC(=O)Cc1ccccc1)C(Cl)(Cl)Cl
1,N#CCCn1c(-c2cncs2)nc2ccccc21
2,CC(=O)N1CN([N+](=O)[O-])CCN([N+](=O)[O-])C1
3,Cc1ccc(S(=O)(=O)N2CCCC(C(=O)NCc3ccc4c(c3)OCO4)C2)cc1
4,Cc1ccc(C(=O)NC(=Cc2ccc3c(c2)OCO3)C(=O)[O-])cc1
5,O=C(COc1ccccc1[N+](=O)[O-])NCc1ccccc1Cl
6,O=C(NN=Cc1ccncc1)c1cccc(Cn2cccn2)c1
7,CCOC(=O)c1c(C)[nH]c(C=NNC(N)=O)c1C
8,Cc1c(C=C2C(=O)N(c3ccccc3)C(=S)N(c3ccccc3)C2=O)cnn1C
9,O=C([O-])C1CCCCN1C(=O)Cc1c[nH]c2ccccc12
10,O=C(c1cccc(Cl)c1)N1CCN(S(=O)(=O)c2ccccc2)CC1
11,Cc1nc2ccccc2n1Cc1ccccc1Cl
12,CCOC(=O)C1C(=O)C=C(c2ccco2)CC1c1ccc(C)cc1
13,CCOc1ccc(N=Cc2cc(Br)cc(OC)c2O)cc1
14,COc1ccc(OC)c(C=C2SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)c1
15,O=C(c1ccccc1Cl)n1nnc2ccccc21
16,Cc1ccc(NC(=O)C(C#N)Cc2ccncc2)c(C)c1
17,COc1ccc(OC)c(NC(=O)c2cc3cc(Br)ccc3oc2=O)c1
18,COc1cc(OC)cc(C(=O)Nc2cc(Cl)cc(Cl)c2)c1
19,[NH3+]CCNc1nc(-c2ccc(Cl)cc2)cc(C(F)(F)F)n1
20,COc1ccc(C(C)=NNC(=O)COc2ccc(C)cc2)c(OC)c1
21,C#CC(C)(CC)NC(=O)c1cc2nc(-c3ccc(OC)c(OC)c3)cc(C(F)(F)F)n2n1
22,CC(C)=NNC(=O)c1ccc(C)c(Br)c1
23,C[NH+](C)CC(C)(C)C[NH+](C)C
24,COC(C(=O)Nc1cc(Cl)ccc1C)c1ccccc1
25,CC(C)c1cccc2c1NC(c1ccc(C(=O)[O-])cc1)C1CC=CC21
26,CC1(C)Cc2ccccc2C(=Nc2nc(-c3ccccc3)cs2)N1
27,NC(=[NH2+])NC(Cc1ccccc1)C(=O)[O-]
28,O=C1CC(C(=O)[O-])C(c2ccccc2)O1
29,O=C(C[n+]1ccccc1)NN=Cc1ccccc1O
30,CC1(C)CC(C[NH2+]CCC2(c3ccccc3)CCOC(C)(C)C2)CCO1
31,CC1CCCCC1NC(=O)COC(=O)Cc1ccc(Cl)cc1
32,Cc1cc(Cl)cc(Cl)c1OCC(=O)Nc1cccc(F)c1
33,CCCCC(CC)C(=O)Nc1cccc(SC)c1
34,O=S(=O)(Cc1ccccc1)Nc1ccc(F)c(F)c1
35,COc1ccc(CCNC(=O)Nc2ccc(Cl)c(Cl)c2)cc1OC
36,CCSc1nnc(NC(=O)c2cc(-c3ccc(C)o3)nc3ccccc23)s1
37,COc1ccc(C(=O)Nc2nnc(CC(=O)NN=Cc3ccccc3)s2)cc1
38,O=C(Nc1ccc2nn(-c3ccccc3)nc2c1)c1ccccc1Cl
39,COc1ccc(-c2nc(NC(=O)c3cccc(S(C)(=O)=O)c3)sc2C)cc1
40,CCCC(=O)NC([NH2+]CC1CCCO1)C(Cl)(Cl)Cl
41,Cc1nnsc1C(=O)OCCN(C)c1ccc(C#N)c[nH+]1
42,CC1Nc2ccccc2-c2nnc(SCc3ccccc3)nc2O1
43,c1ccc(C2SC3CCCCC3S2)cc1
44,COC(=O)C1(C(=O)OC)CC1S(=O)c1ccccc1
45,Cc1cc(C)c2c3c(sc2n1)C(c1ccc(F)cc1)C(C#N)=C(N)O3
46,CC1CCCC(C)[NH+]1CN1C(=O)C(=O)c2ccccc21
47,CCn1c(SCC(=O)Nc2cccc(F)c2)nnc1C1CC1
48,COc1ccccc1NC(=O)C1CCC1
49,COc1ccc(OC)c(C(=O)CC2(O)C(=O)N(Cc3ccc(Cl)cc3)c3ccccc32)c1
50,N#CCc1c(-c2ccccc2)n(S(=O)(=O)c2ccccc2)c2ccccc12
51,CCC1(C)N=C(N)N=C(N)N1c1ccc(C)cc1
52,Cc1ccc2c(c1)C1C[N+](C)(C)CCC1N2C(=O)c1ccc(F)cc1
53,CN(C)S(=O)(=O)c1cccc(C(=O)OCC(=O)N2CCCCC2)c1
54,Cc1cc(Cl)ccc1OC(C)C(=O)Nc1nnc(C(C)C)s1
55,Cc1ccc(-n2c(SCC(=O)Nc3ccccc3C(N)=O)nc3ccccc3c2=O)c(C)c1
56,CCC(C)NC(=O)c1ccc(C)c(S(=O)(=O)Nc2ccc(C)cc2C)c1
57,Cc1ccc(NC2CCCCC2NS(=O)(=O)c2ccccc2)cc1
58,O=S(=O)(NCCOc1ccc(F)cc1)c1ccc(F)cc1
59,O=C(COc1cccc2cccnc12)N1N=CCC1c1ccccc1
60,CCC(=O)Nc1ccc(C(=O)NN=Cc2ccc(C)cc2C)cc1
61,CC(C)Cn1cc(C(=O)N2CCCC2)c2c3ccccc3n(C)c2c1=O
62,O=C(NN=Cc1ccc(O)cc1O)c1cc(-c2cccs2)n[nH]1
63,COc1ccc(C2Cc3cc(OC)c(OC)cc3C(c3ccccc3)[NH2+]2)cc1OC
64,Cc1c(C2C(CC#N)C2(C)C)c2ccccc2n1Cc1ccccc1
65,CCOC(=O)c1c(NC(=O)COc2ccccc2Cl)sc2c1C(C)CCC2
66,COc1ccc(C2(C(=O)N3CCOCC3)CCOCC2)cc1
67,O=C(CCC(=O)N1CCOCC1)NC1CCN2CCCc3cccc1c32
68,CCCS(=O)(=O)N1CC[NH+](C2CC3CCC2C3)CC1
